model,MASE,CRPS,MAE,RMSE
TiRex,1.9089,0.7625,1.2296,4.3704
visiontspp_base,1.9093,0.917,1.3102,4.5181
TimesFM-2.5,1.915,0.7347,1.2479,4.374
chronos2_base,1.9192,0.8586,1.3212,4.9732
moirai2,1.9206,0.8359,1.2599,4.4267
moirai_base,1.9343,0.7614,1.2768,4.4547
chronos_bolt_base,1.9355,0.9447,1.3482,5.1947
sundial_base,1.948,1.5556,1.3622,4.3607
patchtst,1.962,0.5888,1.2618,4.5491
lightgbm,1.9728,0.9874,1.3025,4.4564
TimesFM-2.0,1.98,1.0561,1.2677,4.4058
kairos,2.0256,1.5565,1.4244,4.5635
deepar,2.0268,0.4949,1.3389,4.4979
TimesFM-1.0,2.0921,1.1018,1.2974,4.4294
dlinear,2.1207,1.102,1.5498,4.865
auto_ets,2.1313,7.8067,1.8477,4.9237
seasonal_naive,2.1953,8.4748,1.8824,5.942
