model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8061,0.5762,7.0081,10.4182
TimesFM-2.5,0.8168,0.5544,7.0946,10.475
chronos_bolt_base,0.8185,0.5672,7.1057,10.5173
patchtst,0.8188,0.6215,7.1206,10.3199
chronos2_base,0.8211,0.5262,7.1251,10.568
TiRex,0.8223,0.5701,7.1577,10.6433
moirai2,0.8258,0.5966,7.1903,10.6441
TimesFM-2.0,0.8284,0.5772,7.2142,10.7333
moirai_base,0.8372,0.6998,7.2767,10.6996
dlinear,0.8375,0.6766,7.3281,10.509
sundial_base,0.8379,0.7542,7.3301,10.6223
TimesFM-1.0,0.8381,0.5932,7.3314,10.7975
deepar,0.8556,0.4828,7.3623,10.9148
lightgbm,0.8826,0.8041,7.7132,10.8135
auto_ets,0.9454,0.8068,8.238,11.5006
seasonal_naive,1.0465,0.8891,9.1994,13.4929
kairos,1.1565,0.7977,9.8802,13.5103
