model,MASE,CRPS,MAE,RMSE
deepar,0.9597,0.421,0.6225,2.8612
TiRex,0.9685,0.4554,0.6416,2.9139
patchtst,0.9713,0.4287,0.6285,2.8534
sundial_base,0.9721,0.554,0.6805,2.8405
TimesFM-2.5,0.9753,0.4447,0.6416,2.8717
visiontspp_base,0.9764,0.4678,0.6553,2.9139
TimesFM-1.0,0.9808,0.4537,0.6409,2.8328
lightgbm,0.9845,0.4728,0.6513,2.8448
moirai2,0.9863,0.4489,0.6462,2.8914
chronos_bolt_base,0.9875,0.4853,0.6724,2.9712
moirai_base,0.9896,0.462,0.6531,2.9058
TimesFM-2.0,0.997,0.4612,0.6392,2.8351
dlinear,1.0001,0.5417,0.7307,2.8376
chronos2_base,1.0038,0.4874,0.6793,2.9842
kairos,1.0307,0.5344,0.7024,2.93
auto_ets,1.122,0.831,0.9224,3.3309
seasonal_naive,1.2349,1.0692,0.9372,3.8131
