model,MASE,CRPS,MAE,RMSE
TimesFM-2.5,0.8161,0.3558,3.0972,5.0182
visiontspp_base,0.8165,0.3592,3.0974,5.0129
TiRex,0.8182,0.3594,3.1112,5.0345
moirai2,0.8236,0.3558,3.122,5.0573
patchtst,0.8238,0.36,3.1133,4.9832
TimesFM-2.0,0.8283,0.3684,3.1633,5.0916
sundial_base,0.8316,0.4014,3.1881,5.086
chronos2_base,0.8373,0.367,3.1866,5.1511
moirai_base,0.8428,0.3766,3.2194,5.2355
deepar,0.8474,0.3821,3.2473,5.2311
chronos_bolt_base,0.8514,0.3748,3.2369,5.2637
dlinear,0.8522,0.399,3.3162,5.1047
TimesFM-1.0,0.8616,0.3893,3.3014,5.2677
lightgbm,0.9087,0.3805,3.4442,5.6356
kairos,0.9121,0.4179,3.5439,5.5558
auto_ets,0.925,0.4373,3.5713,5.597
seasonal_naive,1.1001,0.5526,4.2764,6.7256
