model,MASE,CRPS,MAE,RMSE
TiRex,0.7796,0.211,11.3084,15.2091
TimesFM-2.5,0.7858,0.2145,11.386,15.2322
visiontspp_base,0.7929,0.2126,11.503,15.3953
TimesFM-2.0,0.7937,0.2193,11.5258,15.3912
sundial_base,0.7955,0.2369,11.5445,15.2904
dlinear,0.8039,0.2322,11.6415,15.5045
chronos2_base,0.8098,0.2168,11.7702,15.8119
moirai2,0.8129,0.2192,11.8343,15.8201
patchtst,0.8139,0.2406,11.7975,15.6749
chronos_bolt_base,0.8142,0.2177,11.8388,15.9002
deepar,0.8168,0.263,11.8783,15.7756
moirai_base,0.8305,0.2227,12.069,16.0699
TimesFM-1.0,0.8562,0.2411,12.4896,16.6356
lightgbm,0.8573,0.2593,12.4761,16.204
auto_ets,0.8953,0.2498,13.0405,16.9632
kairos,0.999,0.2694,14.4755,19.0735
seasonal_naive,1.0496,0.2987,15.3584,20.1188
