model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8152,0.3748,6.7915,10.1503
patchtst,0.8156,0.3756,6.7834,10.0208
TimesFM-2.5,0.8248,0.3748,6.8804,10.2811
chronos_bolt_base,0.8257,0.3869,6.8809,10.2101
dlinear,0.8279,0.3875,6.8858,10.0502
TimesFM-2.0,0.831,0.3785,6.9199,10.3991
TiRex,0.8322,0.3856,6.9662,10.3945
moirai2,0.8328,0.3802,6.9459,10.3343
sundial_base,0.8358,0.4337,6.9891,10.2505
chronos2_base,0.8373,0.3881,6.9946,10.4325
TimesFM-1.0,0.8444,0.3915,7.0501,10.5124
lightgbm,0.8487,0.3957,7.0684,10.4961
moirai_base,0.8513,0.3943,7.1166,10.4997
deepar,0.8515,0.3696,7.0156,10.698
auto_ets,0.9386,0.468,7.8472,11.0509
kairos,1.0135,0.467,8.6282,12.1717
seasonal_naive,1.0641,0.5566,8.9218,12.9198
