model,MASE,CRPS,MAE,RMSE
patchtst,0.808,0.3378,5.1393,8.0588
visiontspp_base,0.8109,0.3357,5.1583,8.172
TimesFM-2.5,0.815,0.3325,5.1836,8.2456
dlinear,0.8174,0.3495,5.2825,8.1753
TiRex,0.8185,0.3396,5.223,8.3301
sundial_base,0.8228,0.3732,5.2742,8.2591
deepar,0.8269,0.3401,5.266,8.4056
moirai2,0.8272,0.3347,5.2631,8.3437
chronos2_base,0.8301,0.3435,5.2976,8.3566
TimesFM-2.0,0.8315,0.3465,5.3172,8.3863
moirai_base,0.8344,0.3491,5.3347,8.4323
chronos_bolt_base,0.8371,0.3485,5.3422,8.4514
TimesFM-1.0,0.846,0.3548,5.415,8.501
lightgbm,0.8723,0.3506,5.5289,8.7388
kairos,0.8861,0.3739,5.7266,8.8443
auto_ets,0.9067,0.4004,5.8711,8.9273
seasonal_naive,1.0756,0.4935,6.9679,10.7043
