model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.9204,0.2009,2.1295,4.5077
TiRex,0.923,0.2007,2.1433,4.5606
TimesFM-2.5,0.9262,0.1991,2.141,4.5618
moirai2,0.9295,0.2013,2.1559,4.5579
chronos2_base,0.933,0.2042,2.1744,4.5784
chronos_bolt_base,0.9395,0.2059,2.1863,4.616
moirai_base,0.9437,0.2064,2.1916,4.6164
sundial_base,0.9452,0.2263,2.2157,4.5111
TimesFM-2.0,0.947,0.2037,2.1788,4.6132
TimesFM-1.0,0.974,0.2113,2.2277,4.6152
patchtst,1.0139,0.2033,2.1704,4.5816
kairos,1.0599,0.2352,2.5095,4.984
auto_ets,1.0628,0.2658,2.5879,4.8624
dlinear,1.1207,0.2282,2.304,4.5377
seasonal_naive,1.1584,0.3282,2.8828,5.9823
deepar,1.1635,0.2082,2.286,4.8613
lightgbm,1.1722,0.2161,2.2416,4.5945
