model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8351,0.1752,0.1344,0.2118
TimesFM-2.5,0.8416,0.1751,0.1351,0.2129
TiRex,0.8432,0.1771,0.1364,0.2162
moirai2,0.8458,0.1759,0.136,0.2139
patchtst,0.8472,0.1762,0.1356,0.2109
chronos2_base,0.8536,0.1781,0.1379,0.2191
chronos_bolt_base,0.8583,0.1796,0.1386,0.2202
sundial_base,0.8585,0.1936,0.1386,0.2138
moirai_base,0.8642,0.1821,0.1391,0.2192
TimesFM-2.0,0.8664,0.1812,0.1392,0.2181
dlinear,0.8698,0.1865,0.1398,0.2131
TimesFM-1.0,0.8905,0.1879,0.1433,0.2217
lightgbm,0.9122,0.1893,0.1455,0.2238
deepar,0.9161,0.1879,0.1473,0.235
auto_ets,0.9559,0.21,0.1563,0.2331
kairos,1.0337,0.2194,0.168,0.2504
seasonal_naive,1.0727,0.2553,0.1795,0.2805
