model,MASE,CRPS,MAE,RMSE
patchtst,0.8303,0.2388,17.0237,23.046
TiRex,0.8412,0.2362,17.3516,24.1559
TimesFM-2.5,0.8428,0.2377,17.3373,23.883
visiontspp_base,0.8445,0.2361,17.4011,24.0907
chronos_bolt_base,0.8465,0.2372,17.4513,24.2806
chronos2_base,0.8515,0.238,17.5516,24.4027
sundial_base,0.8527,0.26,17.5337,23.8977
TimesFM-2.0,0.862,0.2454,17.7385,24.37
moirai2,0.8648,0.2427,17.824,24.6095
lightgbm,0.876,0.2448,17.9704,24.1388
moirai_base,0.8823,0.2524,18.2204,25.0719
deepar,0.8872,0.2667,18.2978,24.6612
dlinear,0.8904,0.2466,18.1854,24.515
TimesFM-1.0,0.911,0.2586,18.7911,25.8213
auto_ets,0.9649,0.2798,19.9135,26.3167
seasonal_naive,1.0495,0.3095,21.8108,29.5152
kairos,1.4097,0.3832,28.721,38.4039
