model,MASE,CRPS,MAE,RMSE
patchtst,0.8335,0.2809,21.1055,48.6913
visiontspp_base,0.8353,0.2897,21.2954,48.6429
TimesFM-2.5,0.838,0.2887,21.1425,48.0782
TiRex,0.8397,0.2921,21.2632,48.2206
moirai2,0.8449,0.2886,21.3591,48.5309
TimesFM-2.0,0.8575,0.3018,21.8109,48.6662
chronos2_base,0.8576,0.2957,21.9493,51.5332
dlinear,0.858,0.3019,22.3329,49.1409
moirai_base,0.8616,0.3031,22.0436,49.599
sundial_base,0.8623,0.3296,22.1074,48.7871
chronos_bolt_base,0.8746,0.3041,22.7016,55.8858
TimesFM-1.0,0.8755,0.3102,22.3289,49.3871
deepar,0.8828,0.309,22.6221,50.0531
lightgbm,0.9096,0.3166,23.4496,51.0299
auto_ets,0.9604,0.3771,25.9448,54.8411
kairos,0.985,0.3582,25.1144,52.3456
seasonal_naive,1.1213,0.4713,30.2852,65.9397
