model,MASE,CRPS,MAE,RMSE
TiRex,0.8184,0.1826,11.9921,16.2554
patchtst,0.8208,0.1981,11.947,15.7365
TimesFM-2.5,0.8237,0.1849,12.0543,16.224
visiontspp_base,0.827,0.1863,12.1034,16.3623
sundial_base,0.8285,0.208,12.1178,16.1548
chronos_bolt_base,0.8291,0.1847,12.1424,16.4878
TimesFM-2.0,0.8369,0.1949,12.2496,16.4241
chronos2_base,0.838,0.1851,12.2629,16.6584
dlinear,0.8399,0.2005,12.2227,16.1133
lightgbm,0.8539,0.2097,12.4312,16.3009
moirai2,0.8546,0.1941,12.547,16.8949
moirai_base,0.8718,0.1984,12.7875,17.1063
TimesFM-1.0,0.8909,0.2158,13.1105,17.5651
deepar,0.8981,0.2354,13.0375,17.2487
auto_ets,0.9526,0.2184,13.978,18.1409
seasonal_naive,1.0477,0.2486,15.4815,20.6695
kairos,1.4682,0.3221,21.3094,27.7594
