model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8694,0.449,0.0915,0.1514
TiRex,0.8783,0.4389,0.0929,0.1545
TimesFM-2.5,0.884,0.4194,0.0927,0.1526
chronos2_base,0.8876,0.4234,0.0935,0.1554
moirai2,0.8918,0.4034,0.0938,0.1544
chronos_bolt_base,0.895,0.459,0.0941,0.1565
TimesFM-2.0,0.9012,0.5556,0.0946,0.1559
sundial_base,0.902,0.5943,0.0952,0.1531
moirai_base,0.9165,0.4215,0.0966,0.158
TimesFM-1.0,0.927,0.5742,0.0971,0.1579
patchtst,0.9606,0.4638,0.0946,0.1563
auto_ets,1.0302,0.6398,0.1107,0.1686
lightgbm,1.0428,0.5774,0.0974,0.1578
kairos,1.1074,0.5472,0.12,0.1854
seasonal_naive,1.1079,0.798,0.121,0.2015
dlinear,1.138,0.6602,0.0967,0.1526
deepar,1.3739,0.4077,0.1011,0.1616
