model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8476,0.3698,10.0027,27.6283
TiRex,0.8556,0.3747,10.0847,27.6752
TimesFM-2.5,0.8567,0.3644,10.0779,27.715
patchtst,0.857,0.3716,10.1313,27.8679
chronos2_base,0.8628,0.3777,10.1982,27.9851
moirai2,0.8642,0.3708,10.1868,27.8411
chronos_bolt_base,0.8668,0.3813,10.3085,29.0075
TimesFM-2.0,0.8712,0.3733,10.2584,27.9821
sundial_base,0.8736,0.4338,10.4963,27.5656
TimesFM-1.0,0.8754,0.3802,10.3203,27.8795
moirai_base,0.8765,0.3827,10.3722,28.029
dlinear,0.8938,0.417,11.1507,28.2917
deepar,0.8966,0.3865,10.4667,28.1655
lightgbm,0.9009,0.3937,10.5341,28.1171
kairos,0.9902,0.4428,11.8381,29.2064
auto_ets,1.0,0.5669,13.1126,30.6961
seasonal_naive,1.1234,0.7049,14.0309,37.1597
