model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8045,0.35,2.9182,5.4345
TiRex,0.8071,0.3514,2.9328,5.4541
TimesFM-2.5,0.8072,0.3462,2.9242,5.4421
moirai2,0.8164,0.3494,2.958,5.5068
patchtst,0.8184,0.3634,2.9643,5.439
chronos2_base,0.8239,0.3574,3.0071,5.6841
sundial_base,0.8258,0.396,3.0149,5.4862
TimesFM-2.0,0.8287,0.3609,3.0221,5.5883
deepar,0.8302,0.3587,3.0094,5.5858
chronos_bolt_base,0.8319,0.3623,3.0459,6.0134
moirai_base,0.8321,0.3649,3.0339,5.6331
dlinear,0.8338,0.3634,3.0381,5.4803
TimesFM-1.0,0.8379,0.3669,3.0485,5.5921
lightgbm,0.859,0.3886,3.1265,5.6449
auto_ets,0.9187,0.4386,3.4324,6.0979
kairos,0.9258,0.4147,3.4086,5.9857
seasonal_naive,1.0868,0.5546,4.0498,7.3536
