model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8028,0.4775,6.2476,9.4596
TimesFM-2.5,0.8134,0.4632,6.3313,9.5473
TiRex,0.8184,0.4707,6.3913,9.6839
patchtst,0.819,0.4999,6.3553,9.366
chronos_bolt_base,0.8195,0.4806,6.3767,9.5964
moirai2,0.8207,0.4768,6.3987,9.6603
chronos2_base,0.8219,0.4729,6.3948,9.6644
TimesFM-2.0,0.825,0.4863,6.4367,9.771
dlinear,0.833,0.5587,6.4987,9.4786
sundial_base,0.8345,0.5839,6.5398,9.6261
moirai_base,0.8351,0.507,6.5003,9.7437
TimesFM-1.0,0.8374,0.5149,6.5608,9.829
deepar,0.8551,0.4241,6.5006,9.8773
lightgbm,0.8763,0.608,6.8518,9.7412
auto_ets,0.9506,0.6841,7.449,10.4995
seasonal_naive,1.0615,0.833,8.4073,12.4848
kairos,1.0933,0.6577,8.4913,11.8802
