model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8317,0.2303,32.4764,53.2545
TimesFM-2.5,0.8423,0.2318,32.9293,53.6911
moirai2,0.8456,0.2326,33.0227,53.7251
TiRex,0.846,0.2357,33.1648,54.2236
chronos2_base,0.8522,0.2342,33.3711,55.203
TimesFM-2.0,0.8578,0.2378,33.426,54.492
patchtst,0.8599,0.2319,32.9214,53.6281
chronos_bolt_base,0.8617,0.2387,33.6649,56.6253
sundial_base,0.8643,0.2614,33.8704,54.1447
dlinear,0.8701,0.2442,33.6104,53.6888
moirai_base,0.8735,0.2424,33.9932,54.8582
TimesFM-1.0,0.8767,0.2459,34.373,55.5834
deepar,0.8941,0.236,34.1196,55.8718
lightgbm,0.9065,0.261,35.1137,55.2866
auto_ets,0.9483,0.279,37.7187,58.3859
seasonal_naive,1.0682,0.3319,42.641,68.8429
kairos,1.128,0.3068,44.1367,66.7358
