model,MASE,CRPS,MAE,RMSE
TiRex,1.1613,0.2078,3.1655,6.5879
TimesFM-2.5,1.1646,0.2055,3.1653,6.5118
sundial_base,1.1696,0.2282,3.2034,6.4251
visiontspp_base,1.1702,0.2081,3.1772,6.5329
moirai2,1.1746,0.2074,3.2041,6.5638
chronos2_base,1.1761,0.2129,3.2327,6.8618
TimesFM-2.0,1.1854,0.2129,3.2333,6.6362
chronos_bolt_base,1.2001,0.2165,3.292,6.9638
TimesFM-1.0,1.2154,0.2187,3.318,6.6826
moirai_base,1.2326,0.2192,3.3451,6.7881
lightgbm,1.2355,0.2212,3.3158,6.6301
patchtst,1.2466,0.2115,3.2742,6.6307
auto_ets,1.2664,0.2596,3.6219,6.9269
kairos,1.3722,0.2468,3.7786,7.281
seasonal_naive,1.3881,0.3213,4.083,8.2848
dlinear,1.4194,0.247,3.4658,6.6162
deepar,1.5102,0.2282,3.5195,6.8301
