model,MASE,CRPS,MAE,RMSE
TimesFM-2.5,0.8968,0.2482,0.2422,0.4344
TiRex,0.8991,0.2507,0.2441,0.4415
visiontspp_base,0.9009,0.2489,0.243,0.4383
sundial_base,0.9032,0.2767,0.244,0.4311
moirai2,0.9109,0.2509,0.2462,0.4396
chronos2_base,0.9182,0.2536,0.2491,0.4554
TimesFM-2.0,0.9183,0.2617,0.2464,0.4422
chronos_bolt_base,0.9361,0.2594,0.2523,0.4635
TimesFM-1.0,0.9382,0.267,0.2519,0.4471
moirai_base,0.9577,0.2703,0.2561,0.4535
patchtst,0.9669,0.2576,0.249,0.4393
lightgbm,0.9801,0.2847,0.2549,0.4402
deepar,0.9808,0.2549,0.2524,0.446
auto_ets,1.0126,0.3114,0.2766,0.4653
dlinear,1.0317,0.2894,0.2594,0.4429
seasonal_naive,1.117,0.3765,0.3089,0.5515
kairos,1.2852,0.3544,0.3381,0.5561
