model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8082,0.3164,5.3238,7.7645
chronos_bolt_base,0.8168,0.3229,5.3689,7.8126
TimesFM-2.5,0.8171,0.3171,5.3888,7.8516
TimesFM-2.0,0.8208,0.3209,5.4027,7.9149
chronos2_base,0.8219,0.322,5.4062,7.8895
TiRex,0.8227,0.3237,5.4376,7.9271
sundial_base,0.8284,0.3592,5.4731,7.8634
moirai2,0.8302,0.3215,5.4905,7.9781
TimesFM-1.0,0.835,0.3331,5.507,7.9949
dlinear,0.8401,0.3388,5.5255,7.7254
patchtst,0.841,0.3359,5.5259,7.7349
moirai_base,0.8443,0.3331,5.5867,8.0555
deepar,0.8583,0.3183,5.6243,8.35
lightgbm,0.8825,0.3425,5.7849,8.3779
auto_ets,0.9284,0.3863,6.1304,8.4677
kairos,1.0379,0.4088,6.8532,9.4291
seasonal_naive,1.0613,0.461,7.0135,9.9384
