model,MASE,CRPS,MAE,RMSE
TimesFM-2.5,0.8163,0.3307,3.2621,5.6238
visiontspp_base,0.8179,0.3344,3.2699,5.672
TiRex,0.8206,0.3337,3.2833,5.6727
moirai2,0.8243,0.3304,3.2947,5.6964
dlinear,0.8252,0.3424,3.3132,5.6214
chronos2_base,0.8324,0.3375,3.3436,5.94
TimesFM-2.0,0.833,0.3456,3.3427,5.7231
moirai_base,0.8391,0.3489,3.3854,5.8574
sundial_base,0.8448,0.3826,3.4047,5.7638
patchtst,0.8463,0.3375,3.3757,5.7457
chronos_bolt_base,0.8476,0.3465,3.4119,6.0666
TimesFM-1.0,0.8688,0.3679,3.5036,5.9506
deepar,0.8979,0.3747,3.647,6.2293
auto_ets,0.929,0.4193,3.7812,6.2433
lightgbm,0.9464,0.4412,3.9312,6.3485
kairos,0.9508,0.4088,3.8665,6.3014
seasonal_naive,1.1014,0.5335,4.533,7.6529
