model,MASE,CRPS,MAE,RMSE
TiRex,0.7898,0.2318,12.2285,16.4471
TimesFM-2.5,0.7949,0.2336,12.3024,16.3958
visiontspp_base,0.8005,0.2323,12.3883,16.5657
chronos_bolt_base,0.8078,0.2346,12.4934,16.851
chronos2_base,0.809,0.2326,12.5185,16.8718
TimesFM-2.0,0.809,0.2412,12.5215,16.6099
sundial_base,0.8108,0.2651,12.5311,16.5115
patchtst,0.8158,0.261,12.604,16.5439
dlinear,0.8216,0.2504,12.676,16.5773
moirai2,0.8272,0.244,12.8443,17.2177
moirai_base,0.8362,0.244,12.9755,17.2611
deepar,0.8385,0.2711,12.9442,16.9954
TimesFM-1.0,0.8606,0.2615,13.38,17.7111
auto_ets,0.9091,0.274,14.0778,18.1145
lightgbm,1.0149,0.3021,15.5326,19.3793
seasonal_naive,1.0482,0.3248,16.3203,21.3005
kairos,1.2103,0.3442,18.9412,25.1775
