model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8252,0.1752,0.0628,0.1042
TiRex,0.833,0.1783,0.0637,0.1057
TimesFM-2.5,0.8371,0.1771,0.0636,0.1051
chronos_bolt_base,0.8393,0.1798,0.0639,0.1063
chronos2_base,0.8426,0.1798,0.0644,0.1072
sundial_base,0.8436,0.1959,0.0645,0.1049
TimesFM-2.0,0.8437,0.1795,0.0642,0.1064
moirai2,0.853,0.1808,0.065,0.1068
TimesFM-1.0,0.858,0.1839,0.0654,0.1073
patchtst,0.8626,0.1832,0.0653,0.1044
moirai_base,0.8781,0.1875,0.0668,0.1091
dlinear,0.8841,0.1935,0.0675,0.1053
deepar,0.9102,0.1878,0.0687,0.1133
lightgbm,0.9318,0.192,0.0695,0.1137
auto_ets,0.9533,0.212,0.0736,0.1144
kairos,1.033,0.2181,0.0786,0.1207
seasonal_naive,1.0646,0.2475,0.0818,0.1324
