model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8001,0.2857,7.3161,11.0952
patchtst,0.803,0.2837,7.3324,10.9948
moirai2,0.8081,0.2872,7.3783,11.1565
TimesFM-2.5,0.8096,0.2874,7.3907,11.1433
dlinear,0.818,0.2978,7.5011,11.0724
chronos2_base,0.8187,0.2914,7.4874,11.3691
TiRex,0.8203,0.2932,7.525,11.3809
chronos_bolt_base,0.8207,0.2952,7.51,11.4275
TimesFM-2.0,0.8224,0.2937,7.5169,11.3766
moirai_base,0.8285,0.2991,7.5844,11.3482
deepar,0.8309,0.2942,7.5784,11.347
sundial_base,0.8331,0.327,7.6591,11.326
TimesFM-1.0,0.8432,0.307,7.7575,11.6111
lightgbm,0.8545,0.3146,7.891,11.5744
auto_ets,0.936,0.3596,8.6797,12.4098
seasonal_naive,1.0565,0.4286,9.8629,14.7408
kairos,1.1352,0.4142,10.4899,14.7082
