model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8127,0.3281,11.1984,20.9397
TimesFM-2.5,0.814,0.3271,11.1584,20.6421
TiRex,0.818,0.3302,11.2767,20.9806
moirai2,0.8231,0.3265,11.2928,20.9035
patchtst,0.8325,0.3341,11.4929,21.2074
TimesFM-2.0,0.8332,0.3412,11.4826,21.0577
chronos2_base,0.8332,0.3318,11.568,23.1393
moirai_base,0.8374,0.3435,11.6049,21.5501
sundial_base,0.8392,0.3747,11.6295,21.0886
dlinear,0.8412,0.3536,11.7549,21.0111
deepar,0.8456,0.3388,11.6515,21.5352
chronos_bolt_base,0.8477,0.3411,11.8565,24.371
TimesFM-1.0,0.8552,0.3555,11.8689,21.6166
lightgbm,0.9124,0.3602,12.6248,22.8518
auto_ets,0.9301,0.4153,13.2654,23.7887
kairos,0.9649,0.4143,13.5232,23.3563
seasonal_naive,1.0966,0.524,15.7739,28.7317
