model,MASE,CRPS,MAE,RMSE
patchtst,0.8334,0.2807,21.0954,48.6239
visiontspp_base,0.8353,0.2897,21.2844,48.5833
TimesFM-2.5,0.8377,0.2885,21.1099,47.9519
TiRex,0.8396,0.2919,21.2401,48.1262
moirai2,0.845,0.2885,21.3435,48.4513
dlinear,0.8568,0.3015,22.2955,49.0059
TimesFM-2.0,0.8574,0.3018,21.7845,48.5595
chronos2_base,0.8578,0.2956,21.9341,51.5149
moirai_base,0.8614,0.303,22.0131,49.4929
sundial_base,0.8622,0.3296,22.0848,48.713
chronos_bolt_base,0.8752,0.3041,22.6953,55.9972
TimesFM-1.0,0.8755,0.3102,22.3029,49.2959
deepar,0.8821,0.3088,22.5933,49.9969
lightgbm,0.9098,0.3168,23.4473,50.9778
auto_ets,0.9607,0.3774,25.9289,54.7405
kairos,0.983,0.3579,25.0796,52.2222
seasonal_naive,1.122,0.4717,30.3082,65.9088
