model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.9189,0.2013,2.1401,4.5186
TiRex,0.9212,0.2011,2.1534,4.5642
TimesFM-2.5,0.9245,0.1995,2.1515,4.5722
moirai2,0.9279,0.2017,2.1667,4.5688
chronos2_base,0.9311,0.2046,2.1846,4.5803
chronos_bolt_base,0.9374,0.2062,2.1958,4.6173
moirai_base,0.9418,0.2067,2.2021,4.626
sundial_base,0.9437,0.2268,2.2271,4.5226
TimesFM-2.0,0.9452,0.2041,2.1893,4.6229
TimesFM-1.0,0.9723,0.2117,2.2384,4.6261
patchtst,1.013,0.2037,2.1814,4.5946
kairos,1.0581,0.2356,2.522,4.9972
auto_ets,1.0613,0.2664,2.6005,4.8746
dlinear,1.1201,0.2286,2.315,4.5483
seasonal_naive,1.1573,0.329,2.8981,5.9973
deepar,1.1633,0.2085,2.2972,4.8763
lightgbm,1.1723,0.2165,2.2526,4.6073
