model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8342,0.1747,0.1351,0.2122
TimesFM-2.5,0.8406,0.1746,0.1358,0.2134
TiRex,0.8422,0.1766,0.137,0.2167
moirai2,0.8448,0.1753,0.1366,0.2144
patchtst,0.8455,0.1754,0.1362,0.2114
chronos2_base,0.8523,0.1775,0.1385,0.2191
chronos_bolt_base,0.8571,0.179,0.1392,0.2205
sundial_base,0.8574,0.1929,0.1392,0.2142
moirai_base,0.863,0.1815,0.1398,0.2197
TimesFM-2.0,0.8655,0.1807,0.1399,0.2186
dlinear,0.8674,0.1854,0.1403,0.2133
TimesFM-1.0,0.8898,0.1874,0.144,0.2222
lightgbm,0.9116,0.1889,0.1462,0.2244
deepar,0.9138,0.187,0.1479,0.2355
auto_ets,0.955,0.2092,0.157,0.2336
kairos,1.0324,0.2189,0.1689,0.2511
seasonal_naive,1.0727,0.2545,0.1805,0.2812
