model,MASE,CRPS,MAE,RMSE
TiRex,0.7793,0.211,11.4625,15.4416
TimesFM-2.5,0.7846,0.2144,11.5306,15.4531
TimesFM-2.0,0.7929,0.2193,11.6782,15.6251
visiontspp_base,0.793,0.2126,11.6647,15.6338
sundial_base,0.7943,0.2368,11.6882,15.5035
dlinear,0.8035,0.2321,11.7971,15.7292
chronos2_base,0.8104,0.2171,11.9439,16.0707
patchtst,0.812,0.2405,11.9389,15.891
deepar,0.8131,0.2626,11.9894,15.9636
moirai2,0.8135,0.2195,12.0077,16.074
chronos_bolt_base,0.8142,0.2177,12.0054,16.1352
moirai_base,0.8309,0.2227,12.241,16.3211
lightgbm,0.8569,0.2597,12.6449,16.4392
TimesFM-1.0,0.8576,0.242,12.6831,16.9223
auto_ets,0.8955,0.2498,13.2294,17.2204
kairos,0.9971,0.2691,14.658,19.3324
seasonal_naive,1.0499,0.2987,15.5825,20.4379
