model,MASE,CRPS,MAE,RMSE
patchtst,0.8064,0.3383,5.0265,7.906
visiontspp_base,0.8098,0.336,5.0507,8.0414
TimesFM-2.5,0.8133,0.3326,5.0706,8.1038
dlinear,0.816,0.3499,5.1682,8.0406
TiRex,0.8168,0.3396,5.1081,8.1751
sundial_base,0.8219,0.3739,5.1658,8.13
deepar,0.825,0.3407,5.148,8.247
moirai2,0.8256,0.3349,5.1476,8.2003
chronos2_base,0.8289,0.3436,5.1851,8.2196
TimesFM-2.0,0.8297,0.3469,5.2013,8.2382
moirai_base,0.8331,0.3493,5.2202,8.2851
chronos_bolt_base,0.836,0.3487,5.2311,8.3187
TimesFM-1.0,0.8455,0.3558,5.3089,8.3707
lightgbm,0.8714,0.3514,5.4164,8.5927
kairos,0.8837,0.3744,5.5807,8.6502
auto_ets,0.9055,0.4012,5.7475,8.7981
seasonal_naive,1.0758,0.4951,6.8424,10.5649
