model,MASE,CRPS,MAE,RMSE
deepar,0.9534,0.4232,0.6403,3.2614
patchtst,0.9703,0.4323,0.6498,3.2569
lightgbm,0.9779,0.4777,0.6724,3.2411
TiRex,0.9857,0.4635,0.6742,3.3423
sundial_base,0.988,0.5696,0.7194,3.2548
TimesFM-2.5,0.9924,0.455,0.6737,3.2898
visiontspp_base,0.9967,0.4794,0.6914,3.3445
TimesFM-1.0,0.9975,0.4639,0.6716,3.2424
moirai2,1.0014,0.4568,0.6767,3.3119
moirai_base,1.0052,0.4705,0.6848,3.3305
chronos_bolt_base,1.0054,0.4975,0.7093,3.4087
dlinear,1.0087,0.5633,0.7734,3.2438
kairos,1.0125,0.5407,0.7205,3.3326
TimesFM-2.0,1.0168,0.4707,0.6694,3.2453
chronos2_base,1.025,0.5028,0.7179,3.4242
auto_ets,1.1466,0.8965,0.9964,3.8323
seasonal_naive,1.2669,1.1709,1.0053,4.3855
