model,MASE,CRPS,MAE,RMSE
TimesFM-2.5,0.8155,0.3553,3.0948,5.0144
visiontspp_base,0.8158,0.3587,3.0944,5.0078
TiRex,0.8178,0.3589,3.1089,5.03
moirai2,0.8227,0.3554,3.1193,5.0531
patchtst,0.8229,0.3594,3.1099,4.9793
TimesFM-2.0,0.828,0.3683,3.1612,5.0893
sundial_base,0.8316,0.4016,3.1887,5.0881
chronos2_base,0.8368,0.3664,3.1839,5.1453
moirai_base,0.8425,0.3763,3.2177,5.2301
deepar,0.8463,0.382,3.2425,5.2211
chronos_bolt_base,0.851,0.3743,3.2345,5.2598
dlinear,0.8518,0.3987,3.3141,5.1018
TimesFM-1.0,0.8617,0.3896,3.303,5.2696
lightgbm,0.908,0.3804,3.4407,5.6288
kairos,0.9128,0.4186,3.5489,5.5627
auto_ets,0.9249,0.4369,3.5711,5.5927
seasonal_naive,1.0994,0.5519,4.2729,6.7147
