model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8126,0.3691,6.857,10.2161
patchtst,0.8129,0.3697,6.8523,10.0951
TimesFM-2.5,0.8225,0.3694,6.9498,10.3517
chronos_bolt_base,0.8235,0.3813,6.9513,10.2817
dlinear,0.8248,0.381,6.9542,10.1286
TimesFM-2.0,0.8284,0.3727,6.986,10.4628
TiRex,0.8297,0.3799,7.0347,10.4658
moirai2,0.8306,0.3744,7.0146,10.4015
sundial_base,0.8326,0.4262,7.0505,10.3147
chronos2_base,0.8349,0.3824,7.0636,10.4997
TimesFM-1.0,0.8419,0.3857,7.1199,10.587
lightgbm,0.8448,0.389,7.138,10.568
deepar,0.8485,0.3642,7.0891,10.7742
moirai_base,0.8486,0.3882,7.1823,10.5638
auto_ets,0.9354,0.4598,7.9174,11.1349
kairos,1.0121,0.4608,8.7367,12.2826
seasonal_naive,1.0626,0.5472,9.0285,13.041
