model,MASE,CRPS,MAE,RMSE
TimesFM-2.5,0.8121,0.3199,3.1764,5.4906
visiontspp_base,0.8143,0.3238,3.1869,5.5405
TiRex,0.8167,0.3237,3.1977,5.5358
moirai2,0.8203,0.3204,3.2098,5.5586
dlinear,0.8219,0.3299,3.2268,5.4875
chronos2_base,0.8273,0.3267,3.252,5.7642
TimesFM-2.0,0.8291,0.3338,3.2536,5.5821
moirai_base,0.8357,0.3383,3.3004,5.7211
sundial_base,0.8413,0.3687,3.3184,5.6313
chronos_bolt_base,0.8431,0.335,3.3213,5.8784
patchtst,0.8448,0.3261,3.2949,5.6205
TimesFM-1.0,0.8648,0.3557,3.4144,5.8135
deepar,0.8967,0.3632,3.5655,6.1111
auto_ets,0.9253,0.404,3.6866,6.0934
lightgbm,0.9453,0.4258,3.8464,6.2256
kairos,0.947,0.3952,3.7696,6.1548
seasonal_naive,1.0999,0.514,4.431,7.5007
