model,MASE,CRPS,MAE,RMSE
TiRex,1.174,0.3362,0.6822,2.2854
visiontspp_base,1.1764,0.3489,0.7014,2.3121
TimesFM-2.5,1.1832,0.3332,0.6871,2.2795
moirai2,1.1834,0.3332,0.6962,2.3054
chronos_bolt_base,1.2062,0.3488,0.7102,2.3785
moirai_base,1.2075,0.3418,0.7026,2.3361
sundial_base,1.2076,0.4156,0.7317,2.2373
chronos2_base,1.2078,0.3551,0.7099,2.3172
kairos,1.2688,0.4011,0.7631,2.3604
TimesFM-2.0,1.354,0.351,0.7029,2.285
auto_ets,1.3989,0.6171,0.9495,2.4328
seasonal_naive,1.4782,0.798,0.995,3.0361
patchtst,1.5479,0.3431,0.7112,2.336
TimesFM-1.0,1.6215,0.3561,0.7112,2.2899
deepar,1.6883,0.3581,0.7262,2.344
dlinear,4.259,0.4429,0.798,2.2534
lightgbm,6.1395,0.3729,0.73,2.3249
