model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8107,0.3131,5.3881,7.8636
chronos_bolt_base,0.8189,0.3194,5.4318,7.9099
TimesFM-2.5,0.8195,0.314,5.4544,7.9522
TimesFM-2.0,0.8229,0.3175,5.4661,8.0153
chronos2_base,0.8242,0.3187,5.4711,7.9911
TiRex,0.8253,0.3203,5.5044,8.0304
sundial_base,0.83,0.3551,5.5343,7.9566
moirai2,0.8329,0.3184,5.5594,8.0825
TimesFM-1.0,0.8368,0.3293,5.5687,8.0932
dlinear,0.8438,0.335,5.5967,7.8258
patchtst,0.8452,0.3325,5.5995,7.8361
moirai_base,0.8473,0.3299,5.6559,8.1586
deepar,0.8612,0.3153,5.6939,8.4545
lightgbm,0.8858,0.3382,5.8484,8.4739
auto_ets,0.9308,0.382,6.2039,8.5726
kairos,1.0418,0.4047,6.9412,9.5494
seasonal_naive,1.0638,0.4558,7.0983,10.0666
