model,MASE,CRPS,MAE,RMSE
TiRex,0.7884,0.2288,12.1404,16.3111
TimesFM-2.5,0.7938,0.2308,12.2217,16.2751
visiontspp_base,0.7996,0.2293,12.3053,16.4401
chronos_bolt_base,0.8065,0.2316,12.4081,16.7251
TimesFM-2.0,0.807,0.2376,12.4261,16.4627
chronos2_base,0.8077,0.2298,12.4321,16.7286
sundial_base,0.8084,0.2604,12.4315,16.3619
patchtst,0.814,0.2567,12.5144,16.4146
dlinear,0.8194,0.2462,12.581,16.44
moirai2,0.8264,0.2403,12.7634,17.0964
moirai_base,0.8353,0.2407,12.8908,17.1272
deepar,0.8377,0.2673,12.869,16.8735
TimesFM-1.0,0.8594,0.2578,13.2938,17.5789
auto_ets,0.9077,0.2697,13.9862,17.9771
lightgbm,1.0116,0.2975,15.4364,19.2168
seasonal_naive,1.0478,0.3199,16.2358,21.1851
kairos,1.2187,0.3419,18.9544,25.153
