model,MASE,CRPS,MAE,RMSE
patchtst,0.8154,0.2959,4.9105,8.9009
visiontspp_base,0.8178,0.3018,4.9234,8.8766
TimesFM-2.5,0.8189,0.2973,4.9166,8.8172
TiRex,0.8249,0.3037,4.9677,8.9
moirai2,0.8291,0.3004,4.9875,8.9421
dlinear,0.8307,0.3114,5.0353,8.8186
chronos2_base,0.8338,0.308,5.0581,9.1641
TimesFM-2.0,0.8376,0.3114,5.069,9.06
moirai_base,0.8397,0.3134,5.0852,9.1174
sundial_base,0.8413,0.3407,5.097,8.9425
chronos_bolt_base,0.8437,0.3131,5.1138,9.2819
TimesFM-1.0,0.8596,0.3247,5.1969,9.1185
deepar,0.8604,0.3252,5.2216,9.1928
lightgbm,0.9101,0.3469,5.5652,9.5306
auto_ets,0.9245,0.3759,5.7012,9.6841
kairos,0.9345,0.3551,5.6955,9.6753
seasonal_naive,1.0901,0.4702,6.7421,11.6793
