model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8197,0.1668,0.0596,0.0946
TiRex,0.8283,0.1699,0.0605,0.0961
TimesFM-2.5,0.832,0.1688,0.0604,0.0954
chronos_bolt_base,0.8348,0.1713,0.0607,0.0968
chronos2_base,0.8385,0.1716,0.0612,0.0979
TimesFM-2.0,0.8386,0.1711,0.061,0.0967
sundial_base,0.8394,0.1866,0.0613,0.0954
moirai2,0.8484,0.1726,0.0618,0.0972
TimesFM-1.0,0.8525,0.1752,0.0621,0.0976
patchtst,0.8599,0.1746,0.0622,0.0949
moirai_base,0.874,0.1791,0.0636,0.0997
dlinear,0.8811,0.1838,0.0641,0.0957
deepar,0.9071,0.1799,0.0654,0.1039
lightgbm,0.9294,0.1841,0.0663,0.1042
auto_ets,0.9477,0.2008,0.0696,0.1041
kairos,1.0352,0.2103,0.0755,0.1112
seasonal_naive,1.0629,0.2352,0.0779,0.1201
