model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8131,0.356,5.2793,8.1269
chronos_bolt_base,0.8176,0.3629,5.3119,8.1386
TimesFM-2.5,0.8208,0.3569,5.3355,8.1879
TimesFM-2.0,0.8255,0.3599,5.3664,8.2945
chronos2_base,0.8275,0.3636,5.3837,8.2704
TiRex,0.8293,0.3667,5.4086,8.3011
moirai2,0.8313,0.3633,5.4086,8.2653
sundial_base,0.835,0.4102,5.4487,8.2165
patchtst,0.8357,0.3777,5.4206,8.0296
dlinear,0.8367,0.3884,5.431,8.0152
TimesFM-1.0,0.8384,0.3786,5.4695,8.3687
deepar,0.8484,0.3584,5.4845,8.4766
moirai_base,0.8531,0.3777,5.5467,8.3977
lightgbm,0.8789,0.429,5.748,8.3958
auto_ets,0.9456,0.4554,6.1492,8.7922
seasonal_naive,1.0544,0.5358,6.8872,10.2616
kairos,1.1078,0.482,7.2358,10.293
