model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8163,0.3358,3.1556,5.266
patchtst,0.8189,0.3304,3.1556,5.2533
TimesFM-2.5,0.8195,0.3331,3.1692,5.3046
TiRex,0.8207,0.338,3.1867,5.34
moirai2,0.8268,0.3344,3.1962,5.3406
chronos2_base,0.8328,0.3404,3.2385,5.4543
dlinear,0.8386,0.3463,3.2626,5.3056
TimesFM-2.0,0.8389,0.3464,3.2634,5.4468
chronos_bolt_base,0.8415,0.3453,3.2647,5.5422
moirai_base,0.843,0.3508,3.3001,5.5336
sundial_base,0.8452,0.3819,3.2904,5.4066
deepar,0.8494,0.3457,3.276,5.4698
TimesFM-1.0,0.8572,0.3593,3.3354,5.5124
auto_ets,0.9203,0.4077,3.6309,5.8095
lightgbm,0.946,0.3584,3.5776,5.9298
kairos,0.959,0.4093,3.8036,6.1093
seasonal_naive,1.0877,0.5087,4.2827,6.8934
