model,MASE,CRPS,MAE,RMSE
TiRex,0.7951,0.2044,11.7964,15.9004
TimesFM-2.5,0.8012,0.2066,11.876,15.889
visiontspp_base,0.8055,0.2047,11.9388,16.0248
chronos_bolt_base,0.8119,0.2064,12.0452,16.2661
chronos2_base,0.8146,0.2062,12.0841,16.3168
TimesFM-2.0,0.8154,0.2123,12.0961,16.1078
sundial_base,0.817,0.2298,12.1212,16.0334
moirai2,0.8332,0.2137,12.3981,16.6311
patchtst,0.8334,0.2227,12.3068,16.172
dlinear,0.8365,0.2299,12.3501,16.2921
moirai_base,0.845,0.2158,12.5607,16.6852
TimesFM-1.0,0.8733,0.2297,13.0399,17.2936
lightgbm,0.8953,0.236,13.2572,16.969
auto_ets,0.9205,0.2409,13.6965,17.6835
seasonal_naive,1.0497,0.2836,15.7446,20.7604
deepar,1.1036,0.308,16.0115,20.6528
kairos,1.2111,0.3034,17.9576,23.5162
