model,MASE,CRPS,MAE,RMSE
TiRex,1.0594,0.5987,1.3797,5.2516
visiontspp_base,1.0627,0.607,1.4137,5.2672
TimesFM-2.5,1.0687,0.5512,1.3831,5.2422
moirai2,1.0719,0.5813,1.4,5.2781
TimesFM-2.0,1.0798,0.6054,1.4012,5.2571
moirai_base,1.0801,0.5783,1.4103,5.2885
chronos2_base,1.0841,0.6271,1.4486,5.4111
TimesFM-1.0,1.0877,0.6174,1.4257,5.2673
sundial_base,1.0877,0.9501,1.5083,5.2055
chronos_bolt_base,1.0895,0.6357,1.4504,5.509
patchtst,1.0905,0.669,1.3976,5.3111
deepar,1.0962,0.5242,1.4141,5.3753
lightgbm,1.1133,0.8002,1.4508,5.248
kairos,1.1456,0.8756,1.5378,5.3951
dlinear,1.1879,0.9633,1.6356,5.223
auto_ets,1.2921,2.0221,2.1085,5.7417
seasonal_naive,1.3894,2.6173,2.1497,7.1615
