model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8201,0.3128,5.2316,8.6742
patchtst,0.8264,0.3246,5.2885,8.6473
TimesFM-2.5,0.8268,0.3109,5.2671,8.7433
TiRex,0.8293,0.3191,5.307,8.7965
moirai2,0.8368,0.314,5.3384,8.8236
chronos2_base,0.8385,0.3202,5.3807,8.9583
chronos_bolt_base,0.8409,0.3247,5.3937,9.0215
dlinear,0.843,0.337,5.4519,8.7244
sundial_base,0.8434,0.3555,5.4162,8.8337
TimesFM-2.0,0.8452,0.3234,5.415,8.9688
moirai_base,0.8481,0.3257,5.4427,8.9578
TimesFM-1.0,0.8575,0.3311,5.4873,8.9984
deepar,0.8672,0.3161,5.4928,9.238
lightgbm,0.919,0.3347,5.7991,9.5348
auto_ets,0.9247,0.3824,6.0361,9.5329
kairos,0.9506,0.3699,6.1405,9.7315
seasonal_naive,1.0795,0.4722,7.0526,11.4082
