model,MASE,CRPS,MAE,RMSE
patchtst,0.8086,0.3381,5.1435,8.0364
visiontspp_base,0.8107,0.3357,5.16,8.1505
TimesFM-2.5,0.8149,0.3326,5.1859,8.2257
dlinear,0.8176,0.3497,5.2826,8.1483
TiRex,0.8182,0.3396,5.2249,8.3025
sundial_base,0.8229,0.3732,5.2762,8.2389
moirai2,0.8269,0.3346,5.2644,8.3249
deepar,0.8272,0.3403,5.2679,8.3788
chronos2_base,0.8297,0.3434,5.2985,8.3368
TimesFM-2.0,0.8315,0.3464,5.3194,8.3669
moirai_base,0.8337,0.3488,5.3336,8.4093
chronos_bolt_base,0.8361,0.3483,5.3399,8.4259
TimesFM-1.0,0.8462,0.3551,5.4182,8.4812
lightgbm,0.8723,0.3507,5.5308,8.7145
kairos,0.8857,0.3737,5.7243,8.8172
auto_ets,0.9066,0.4005,5.8721,8.9064
seasonal_naive,1.075,0.4934,6.9671,10.6799
