model,MASE,CRPS,MAE,RMSE
TimesFM-2.5,0.8172,0.3579,3.0898,5.0191
visiontspp_base,0.818,0.3615,3.0913,5.0151
TiRex,0.8196,0.3618,3.1056,5.0375
moirai2,0.8253,0.3582,3.1172,5.0622
patchtst,0.8258,0.363,3.1088,4.9867
TimesFM-2.0,0.8302,0.371,3.1588,5.0958
sundial_base,0.8328,0.4042,3.1815,5.0857
chronos2_base,0.8385,0.3696,3.1806,5.1566
moirai_base,0.8438,0.3789,3.2118,5.2348
deepar,0.849,0.3845,3.2414,5.2341
chronos_bolt_base,0.8523,0.3772,3.2286,5.2664
dlinear,0.8542,0.4022,3.3123,5.1084
TimesFM-1.0,0.8627,0.3914,3.2936,5.2673
lightgbm,0.9087,0.3829,3.4312,5.6275
kairos,0.913,0.4201,3.5345,5.5554
auto_ets,0.9254,0.4397,3.5609,5.5985
seasonal_naive,1.1003,0.5557,4.2612,6.7161
