model,MASE,CRPS,MAE,RMSE
deepar,1.0071,0.4358,0.6777,3.6793
patchtst,1.0187,0.4438,0.6836,3.6699
TiRex,1.0201,0.4723,0.6963,3.721
sundial_base,1.0253,0.5818,0.7445,3.652
visiontspp_base,1.0268,0.4796,0.7056,3.7106
TimesFM-2.5,1.0289,0.4592,0.6977,3.6845
lightgbm,1.031,0.4958,0.7098,3.6604
TimesFM-1.0,1.0323,0.4692,0.6985,3.6541
moirai2,1.0371,0.464,0.7003,3.7008
chronos_bolt_base,1.0399,0.4979,0.7272,3.7711
moirai_base,1.0407,0.4764,0.709,3.7182
TimesFM-2.0,1.0461,0.4733,0.6948,3.6538
chronos2_base,1.0549,0.5089,0.7314,3.7773
dlinear,1.0607,0.5956,0.8311,3.6892
kairos,1.0768,0.5594,0.7608,3.7498
auto_ets,1.2048,1.0229,1.0786,4.2029
seasonal_naive,1.3008,1.2936,1.0486,4.9559
