model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8143,0.3684,6.9311,10.2834
patchtst,0.8156,0.3697,6.9258,10.1628
TimesFM-2.5,0.8242,0.3688,7.0258,10.4115
chronos_bolt_base,0.8256,0.381,7.0254,10.3525
dlinear,0.8282,0.3814,7.0337,10.2002
TimesFM-2.0,0.8297,0.3724,7.0633,10.5288
TiRex,0.8319,0.3798,7.1207,10.5456
moirai2,0.8323,0.3741,7.0968,10.4744
sundial_base,0.8341,0.426,7.1247,10.3836
chronos2_base,0.8363,0.3816,7.1325,10.5645
TimesFM-1.0,0.8432,0.385,7.1944,10.6455
lightgbm,0.8507,0.3896,7.2321,10.6544
moirai_base,0.8514,0.3881,7.273,10.6402
deepar,0.8524,0.3643,7.1747,10.8434
auto_ets,0.9368,0.4591,7.9941,11.1956
kairos,1.0233,0.4626,8.9212,12.4706
seasonal_naive,1.0634,0.5459,9.1065,13.1011
