model,AURN,CNEMC,CPCB,EEA DE,EEA FR,EPA,SINAICA
visiontspp_base,0.7457,0.7697,0.8004,0.765,0.7588,0.779,0.7855
TiRex,0.7477,0.7752,0.7985,0.7677,0.7625,0.7818,0.795
TimesFM-2.5,0.7473,0.7732,0.8014,0.7683,0.7615,0.7838,0.802
chronos2_base,0.7691,0.7848,0.8065,0.7789,0.7754,0.7918,0.7936
moirai2,0.7577,0.78,0.8126,0.7795,0.7724,0.793,0.8119
chronos_bolt_base,0.7702,0.7909,0.8267,0.7833,0.7735,0.7949,0.7951
sundial_base,0.7601,0.7912,0.821,0.7838,0.7769,0.7995,0.8209
TimesFM-2.0,0.7578,0.7908,0.8249,0.7995,0.7733,0.809,0.8262
moirai_base,0.7762,0.7953,0.8584,0.7945,0.7877,0.8071,0.8274
patchtst,0.7479,0.7868,0.9315,0.8291,0.775,0.7962,0.8239
TimesFM-1.0,0.7807,0.8156,0.8631,0.8552,0.792,0.8484,0.8646
deepar,0.7733,0.8429,1.1574,0.8728,0.8283,0.837,0.8697
auto_ets,0.8676,0.8858,0.9015,0.8823,0.885,0.9112,0.9362
dlinear,0.7747,0.8232,1.0046,1.1841,0.7922,0.8303,0.8728
lightgbm,0.8147,0.8601,0.935,1.4926,0.8356,0.8264,0.889
seasonal_naive,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kairos,0.8572,1.0036,1.3928,0.9377,0.9473,1.0135,1.0671
