model,CO,NO2,Ozone,PM10,PM2.5,SO2
visiontspp_base,0.7668,0.7663,0.7881,0.7553,0.7511,0.7873
TiRex,0.7724,0.7805,0.7798,0.7624,0.756,0.784
TimesFM-2.5,0.7736,0.7746,0.7865,0.7595,0.7545,0.7884
moirai2,0.782,0.7805,0.8142,0.7672,0.7608,0.7925
chronos2_base,0.7863,0.7815,0.7933,0.7718,0.7672,0.8026
chronos_bolt_base,0.7913,0.7782,0.7977,0.7806,0.7781,0.8062
sundial_base,0.7861,0.7913,0.8016,0.7772,0.7749,0.8027
TimesFM-2.0,0.7899,0.7867,0.8043,0.7749,0.7699,0.8239
moirai_base,0.8118,0.7982,0.8391,0.7811,0.7767,0.8116
patchtst,0.799,0.8295,0.8219,0.759,0.7697,0.8518
TimesFM-1.0,0.8081,0.8061,0.8642,0.7901,0.7927,0.8708
dlinear,0.8321,0.86,0.8423,0.7777,0.7825,1.0729
deepar,0.8534,0.9374,0.8936,0.7936,0.7934,0.918
auto_ets,0.8955,0.8893,0.9,0.8637,0.8622,0.9262
lightgbm,0.8687,0.8732,0.8735,0.8243,0.8386,1.088
seasonal_naive,1.0,1.0,1.0,1.0,1.0,1.0
kairos,0.9828,1.0322,1.3605,0.8952,0.897,0.8716
