model,MASE,CRPS,MAE,RMSE
TiRex,0.7784,0.2139,11.32,15.2187
TimesFM-2.5,0.7826,0.2175,11.3634,15.1817
TimesFM-2.0,0.7889,0.2217,11.4819,15.3228
visiontspp_base,0.7915,0.2153,11.5043,15.3943
sundial_base,0.792,0.2406,11.5195,15.2536
dlinear,0.8021,0.2357,11.6251,15.4654
moirai2,0.8104,0.2228,11.8164,15.7869
chronos2_base,0.8106,0.2205,11.8029,15.8438
patchtst,0.8116,0.2446,11.7882,15.6341
deepar,0.8134,0.2686,11.8536,15.747
chronos_bolt_base,0.815,0.2201,11.8688,15.9046
moirai_base,0.8282,0.2252,12.0502,16.0362
TimesFM-1.0,0.8516,0.2457,12.4412,16.5931
lightgbm,0.8561,0.2638,12.4753,16.2035
auto_ets,0.8929,0.2534,13.0251,16.9485
kairos,0.9813,0.2701,14.273,18.7709
seasonal_naive,1.0505,0.3026,15.3963,20.1227
