model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8408,0.2067,6.4051,10.8602
chronos2_base,0.8485,0.2083,6.459,10.9847
TiRex,0.8505,0.2111,6.49,10.9305
chronos_bolt_base,0.8509,0.2082,6.4716,10.887
TimesFM-2.5,0.8608,0.2151,6.5825,10.9256
moirai2,0.8779,0.2187,6.7431,11.1722
sundial_base,0.8832,0.2344,6.7662,10.9703
patchtst,0.8928,0.2284,6.8168,10.8979
TimesFM-2.0,0.8944,0.2237,6.8544,11.2104
moirai_base,0.9002,0.2227,6.8913,11.3319
deepar,0.9354,0.2355,7.1905,11.2913
dlinear,0.9383,0.2329,7.1545,11.3015
TimesFM-1.0,0.9599,0.2435,7.3961,11.7689
lightgbm,0.9833,0.2458,7.5656,11.7986
auto_ets,1.0065,0.2644,7.8172,12.1511
seasonal_naive,1.072,0.2991,8.2671,14.43
kairos,1.2627,0.3219,9.4897,13.9143
