model,MASE,CRPS,MAE,RMSE
visiontspp_base,1.0093,1.0288,14.5343,75.3021
chronos2_base,1.0206,2.1001,14.894,78.8041
chronos_bolt_base,1.0217,1.3435,15.1257,76.5975
TiRex,1.0219,1.4556,14.4463,77.7758
TimesFM-2.5,1.028,0.9553,14.4293,76.5934
moirai2,1.0344,1.0122,15.1303,79.3668
patchtst,1.0476,3.1466,18.2098,83.0176
moirai_base,1.0485,1.1097,16.2009,87.2919
sundial_base,1.0503,3.6301,16.0857,75.8897
TimesFM-2.0,1.0514,2.5443,15.9106,77.7685
TimesFM-1.0,1.0764,4.7153,17.8359,81.5872
lightgbm,1.1105,7.2633,20.0267,87.6579
deepar,1.1129,9.5265,20.5642,88.7176
dlinear,1.1172,5.9392,19.3495,77.4208
auto_ets,1.1984,4.9148,19.66,79.2407
kairos,1.2507,4.3936,18.3878,73.0825
seasonal_naive,1.2832,8.9398,20.1412,99.1592
