model,MASE,CRPS,MAE,RMSE
TiRex,0.7896,0.231,12.2136,16.4258
TimesFM-2.5,0.7947,0.2328,12.2876,16.3736
visiontspp_base,0.8003,0.2315,12.3732,16.5437
chronos_bolt_base,0.8076,0.2338,12.4778,16.8288
chronos2_base,0.8086,0.2318,12.5014,16.8467
TimesFM-2.0,0.8086,0.2403,12.5034,16.5844
sundial_base,0.8105,0.264,12.5145,16.488
patchtst,0.8156,0.2599,12.588,16.523
dlinear,0.8215,0.2494,12.6622,16.5579
moirai2,0.8269,0.2431,12.8253,17.1901
moirai_base,0.836,0.2431,12.9603,17.2384
deepar,0.8383,0.27,12.9282,16.9727
TimesFM-1.0,0.8602,0.2605,13.3605,17.6842
auto_ets,0.909,0.2731,14.0621,18.0928
lightgbm,1.0147,0.3007,15.514,19.3561
seasonal_naive,1.048,0.3234,16.2987,21.2705
kairos,1.2106,0.3433,18.9283,25.1619
