model,MASE,CRPS,MAE,RMSE
TimesFM-2.5,0.8155,0.3298,3.2552,5.6105
visiontspp_base,0.8172,0.3336,3.2634,5.658
TiRex,0.8198,0.3329,3.2761,5.6583
moirai2,0.8234,0.3296,3.2874,5.6813
dlinear,0.8245,0.3414,3.3071,5.611
chronos2_base,0.8315,0.3367,3.3366,5.9133
TimesFM-2.0,0.832,0.3443,3.3337,5.705
moirai_base,0.8383,0.3481,3.3783,5.8427
sundial_base,0.8441,0.3814,3.3983,5.7522
patchtst,0.8457,0.3366,3.3695,5.7324
chronos_bolt_base,0.8469,0.3456,3.4043,6.0279
TimesFM-1.0,0.868,0.3669,3.4961,5.935
deepar,0.897,0.3737,3.6396,6.2157
auto_ets,0.9286,0.4181,3.7757,6.2309
lightgbm,0.9457,0.4398,3.9242,6.3349
kairos,0.9499,0.4076,3.8581,6.2857
seasonal_naive,1.1014,0.5321,4.5274,7.6375
