model,MASE,CRPS,MAE,RMSE
TiRex,1.1167,0.3467,0.9661,2.8091
visiontspp_base,1.1194,0.3573,0.9897,2.8333
moirai2,1.1241,0.3443,0.9864,2.8473
TimesFM-2.5,1.1268,0.342,0.9759,2.8204
chronos2_base,1.1419,0.3646,1.006,2.8462
sundial_base,1.1484,0.4279,1.0361,2.7616
moirai_base,1.1507,0.3525,0.9962,2.857
chronos_bolt_base,1.1544,0.3603,1.0015,2.8873
kairos,1.2069,0.4083,1.0674,2.9002
TimesFM-2.0,1.2544,0.3557,0.9883,2.8265
auto_ets,1.34,0.6403,1.3452,3.0136
patchtst,1.3887,0.3517,0.9954,2.8623
seasonal_naive,1.4258,0.8288,1.436,3.7511
TimesFM-1.0,1.4506,0.3626,1.0037,2.8295
deepar,1.4881,0.3666,1.0183,2.8878
dlinear,3.3372,0.4556,1.1305,2.7979
lightgbm,4.6423,0.3829,1.0218,2.8485
