model,MASE,CRPS,MAE,RMSE
patchtst,0.815,0.2994,4.8989,8.8255
visiontspp_base,0.8174,0.3051,4.9124,8.8031
TimesFM-2.5,0.8184,0.3008,4.9056,8.7414
TiRex,0.8244,0.3071,4.9574,8.8357
moirai2,0.8285,0.3035,4.9745,8.8664
dlinear,0.8299,0.3147,5.0194,8.7417
chronos2_base,0.8339,0.3117,5.052,9.1667
TimesFM-2.0,0.837,0.3152,5.0562,8.9837
moirai_base,0.8394,0.3168,5.0738,9.0456
sundial_base,0.8405,0.3445,5.0822,8.8693
chronos_bolt_base,0.8438,0.3167,5.1077,9.2733
TimesFM-1.0,0.8596,0.3285,5.1883,9.049
deepar,0.8599,0.3287,5.2076,9.1195
lightgbm,0.9088,0.3508,5.5464,9.4561
auto_ets,0.9238,0.3794,5.6835,9.6186
kairos,0.9351,0.3598,5.6921,9.6122
seasonal_naive,1.0895,0.4752,6.7251,11.5874
