model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8061,0.3326,3.2173,5.3779
patchtst,0.8074,0.3252,3.213,5.3583
TimesFM-2.5,0.8081,0.3303,3.2281,5.4214
TiRex,0.8109,0.3355,3.2506,5.4748
moirai2,0.8141,0.3311,3.2518,5.4472
chronos2_base,0.8233,0.3374,3.3057,5.6133
TimesFM-2.0,0.8249,0.3431,3.315,5.5512
dlinear,0.8273,0.3427,3.3188,5.3993
deepar,0.8329,0.3423,3.323,5.5538
moirai_base,0.8346,0.3493,3.3766,5.6887
chronos_bolt_base,0.8351,0.3431,3.3523,5.8167
sundial_base,0.8356,0.3785,3.3628,5.5468
TimesFM-1.0,0.8518,0.3589,3.422,5.6522
auto_ets,0.9189,0.4079,3.7371,5.9535
lightgbm,0.934,0.3552,3.6461,6.0512
kairos,0.9533,0.4106,3.9038,6.2654
seasonal_naive,1.088,0.5109,4.415,7.0658
