model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8111,0.3114,5.1357,8.4233
TimesFM-2.5,0.8144,0.3084,5.144,8.4731
patchtst,0.8161,0.321,5.1833,8.3917
TiRex,0.8192,0.3159,5.1998,8.5395
moirai2,0.8246,0.3115,5.2191,8.5562
chronos2_base,0.8277,0.3177,5.2713,8.6573
chronos_bolt_base,0.8321,0.3213,5.305,8.858
TimesFM-2.0,0.8321,0.3204,5.2881,8.6924
dlinear,0.8333,0.3335,5.3466,8.4694
sundial_base,0.8342,0.3512,5.3162,8.6097
moirai_base,0.8364,0.3235,5.3261,8.702
TimesFM-1.0,0.8518,0.3312,5.4071,8.7806
deepar,0.8524,0.3117,5.3571,8.958
lightgbm,0.9118,0.3312,5.7022,9.2793
auto_ets,0.9205,0.3809,5.9604,9.2381
kairos,0.9341,0.3662,5.9672,9.3875
seasonal_naive,1.0808,0.4716,6.9942,11.109
