model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.9496,0.379,0.3302,0.9564
moirai2,0.9608,0.3626,0.3314,0.9544
TiRex,0.9623,0.3718,0.3357,0.9912
TimesFM-1.0,0.9693,0.3662,0.3355,0.9517
TimesFM-2.5,0.9739,0.3524,0.3394,0.978
sundial_base,0.9803,0.4454,0.3422,0.9749
deepar,0.9848,0.371,0.3363,0.947
moirai_base,0.9914,0.3733,0.3483,1.0679
patchtst,0.9916,0.4301,0.3367,0.9365
TimesFM-2.0,1.0015,0.3849,0.3533,1.0068
lightgbm,1.0303,0.475,0.3465,0.9403
kairos,1.0351,0.4682,0.3555,0.9728
chronos2_base,1.0722,0.4057,0.398,2.014
dlinear,1.1044,0.5011,0.3721,0.9692
chronos_bolt_base,1.1135,0.4102,0.4246,2.7607
auto_ets,1.153,0.8389,0.4338,1.0094
seasonal_naive,1.2604,1.1265,0.4623,1.2762
