model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8125,0.3672,5.198,8.1597
chronos_bolt_base,0.8168,0.3737,5.231,8.1551
TimesFM-2.5,0.8199,0.3676,5.252,8.2259
TimesFM-2.0,0.8254,0.3695,5.2889,8.3605
chronos2_base,0.8286,0.3745,5.3124,8.3144
moirai2,0.8295,0.3741,5.3153,8.2822
TiRex,0.8313,0.3807,5.3428,8.3643
patchtst,0.8315,0.3878,5.329,8.0552
sundial_base,0.8359,0.4229,5.3745,8.266
dlinear,0.8359,0.3996,5.3552,8.05
TimesFM-1.0,0.8385,0.397,5.391,8.4207
deepar,0.8433,0.3693,5.3859,8.5298
moirai_base,0.8532,0.3887,5.4649,8.4306
lightgbm,0.8727,0.4446,5.6429,8.3881
auto_ets,0.9521,0.4714,6.098,8.8374
seasonal_naive,1.0558,0.5518,6.7861,10.2697
kairos,1.1057,0.4966,7.1578,10.373
