model,MASE,CRPS,MAE,RMSE
TiRex,0.7878,0.2062,12.1138,16.2814
TimesFM-2.5,0.7924,0.2087,12.1795,16.2557
visiontspp_base,0.7976,0.2069,12.2532,16.4028
chronos_bolt_base,0.8042,0.2082,12.3661,16.6387
chronos2_base,0.8062,0.2084,12.3925,16.6785
TimesFM-2.0,0.8062,0.2141,12.4009,16.4676
sundial_base,0.8083,0.2318,12.4296,16.4076
patchtst,0.8212,0.2229,12.599,16.5246
dlinear,0.8245,0.2307,12.6471,16.6516
moirai2,0.8264,0.2167,12.74,17.0395
moirai_base,0.8361,0.218,12.8888,17.0566
TimesFM-1.0,0.8663,0.2333,13.4055,17.7362
lightgbm,0.8848,0.2386,13.6139,17.3562
auto_ets,0.9136,0.2428,14.0845,18.1214
seasonal_naive,1.0455,0.2855,16.2213,21.3041
deepar,1.0661,0.308,16.2067,20.9756
kairos,1.184,0.3027,18.2159,23.8309
