model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.7822,0.2036,0.057,0.1033
TimesFM-2.5,0.7883,0.2053,0.0574,0.1047
chronos_bolt_base,0.7923,0.2083,0.0583,0.106
TiRex,0.7937,0.2086,0.0585,0.1056
sundial_base,0.7964,0.2253,0.0587,0.1035
moirai2,0.801,0.2078,0.0587,0.1057
TimesFM-2.0,0.8021,0.2074,0.0586,0.1066
chronos2_base,0.8056,0.2091,0.0593,0.1101
dlinear,0.8111,0.2161,0.0597,0.1034
TimesFM-1.0,0.8202,0.2144,0.0605,0.1078
patchtst,0.8273,0.2166,0.0607,0.105
moirai_base,0.8303,0.2195,0.0613,0.1096
deepar,0.8596,0.2286,0.0631,0.109
lightgbm,0.895,0.2373,0.0665,0.111
auto_ets,0.9315,0.2532,0.0693,0.1138
kairos,1.0181,0.2656,0.0737,0.1213
seasonal_naive,1.0566,0.303,0.0796,0.1377
