model,MASE,CRPS,MAE,RMSE
TimesFM-2.5,0.8929,0.244,0.2301,0.4087
TiRex,0.8936,0.2459,0.2314,0.4152
visiontspp_base,0.8995,0.2449,0.231,0.4124
sundial_base,0.9026,0.274,0.2318,0.4059
moirai2,0.9082,0.2483,0.2339,0.4131
chronos2_base,0.9138,0.2486,0.236,0.4271
TimesFM-2.0,0.9186,0.2539,0.2345,0.4165
chronos_bolt_base,0.9365,0.2559,0.2402,0.4385
TimesFM-1.0,0.9418,0.2614,0.24,0.4216
moirai_base,0.9627,0.2641,0.2438,0.4268
patchtst,0.9824,0.2548,0.2383,0.4154
lightgbm,0.9926,0.2826,0.2443,0.4173
deepar,0.9984,0.2522,0.2421,0.4225
auto_ets,1.0188,0.3087,0.2637,0.4396
dlinear,1.048,0.2852,0.2476,0.4185
seasonal_naive,1.1194,0.3724,0.2956,0.5231
kairos,1.3122,0.3516,0.3181,0.5187
